epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8849,1.27903,2.87495,1.25987,0.00675,0.98837,0.71255,0.56777,0.81882,2.93061,0.86804,0.00034,0.00034,0.00034
2,163.576,0.87254,1.28493,0.99214,1,0.38085,0.69302,0.58287,0.82225,2.81138,0.86999,0.00069307,0.00069307,0.00069307
3,243.664,0.84441,1.19411,0.98205,1,0.28711,0.50081,0.39116,0.86472,2.91467,0.94649,0.00103901,0.00103901,0.00103901
4,318.509,0.85736,1.1319,1.00735,0.9832,0.39535,0.51786,0.42769,0.81528,2.27779,0.94109,0.00137783,0.00137783,0.00137783
5,392.917,0.82549,0.96553,0.98473,0.31859,0.54367,0.3505,0.23578,0.86517,2.71653,0.98622,0.00170951,0.00170951,0.00170951
6,466.898,0.81816,0.99073,0.98183,0.539,0.86047,0.5957,0.49994,0.78211,1.87711,0.93741,0.001901,0.001901,0.001901
7,541.711,0.79168,0.86735,0.96569,0.97,0.90698,0.9758,0.82742,0.70507,1.23899,0.89505,0.0018812,0.0018812,0.0018812
8,615.931,0.75284,0.86584,0.97295,0.94601,0.97674,0.98422,0.80852,0.73162,1.0664,0.91918,0.0018614,0.0018614,0.0018614
9,689.423,0.77126,0.83132,0.98475,0.9626,0.97674,0.99028,0.81844,0.73395,0.99672,0.91075,0.0018416,0.0018416,0.0018416
10,763.114,0.78502,0.74911,0.95845,0.89422,0.9186,0.9612,0.80153,0.68115,1.04584,0.89166,0.0018218,0.0018218,0.0018218
11,836.898,0.7423,0.7066,0.9777,0.92769,0.96512,0.9851,0.83009,0.6867,0.86602,0.88341,0.001802,0.001802,0.001802
12,912.689,0.72822,0.68565,0.94399,0.98792,0.95069,0.99228,0.84512,0.62792,0.69554,0.88386,0.0017822,0.0017822,0.0017822
13,986.292,0.73098,0.66895,0.96463,0.97619,0.96512,0.985,0.82664,0.64909,0.73354,0.88886,0.0017624,0.0017624,0.0017624
14,1060.16,0.72782,0.63546,0.96165,0.98098,0.98837,0.99442,0.83493,0.67291,0.62898,0.87274,0.0017426,0.0017426,0.0017426
15,1133.89,0.69635,0.593,0.9538,0.95079,0.98837,0.98803,0.86465,0.64657,0.64757,0.87533,0.0017228,0.0017228,0.0017228
16,1207.95,0.71975,0.61184,0.94755,0.96311,0.98837,0.99269,0.84069,0.65359,0.61153,0.88497,0.001703,0.001703,0.001703
17,1281.57,0.71664,0.61989,0.9556,0.9551,0.98939,0.9927,0.85499,0.62215,0.55783,0.8737,0.0016832,0.0016832,0.0016832
18,1355.31,0.69591,0.56959,0.9455,0.94495,0.99808,0.99308,0.85941,0.63121,0.53672,0.86759,0.0016634,0.0016634,0.0016634
19,1429.03,0.69877,0.54923,0.94259,0.96344,0.98837,0.99386,0.85113,0.60694,0.59223,0.85695,0.0016436,0.0016436,0.0016436
20,1503.1,0.65419,0.52736,0.92896,0.93055,0.97674,0.98559,0.86091,0.58812,0.75019,0.85783,0.0016238,0.0016238,0.0016238
21,1576.81,0.66358,0.52614,0.93931,0.95314,1,0.99275,0.85585,0.60599,0.5066,0.85636,0.001604,0.001604,0.001604
22,1650.92,0.6232,0.48783,0.91951,0.98429,0.97674,0.99376,0.86972,0.57118,0.48662,0.85932,0.0015842,0.0015842,0.0015842
23,1724.68,0.68781,0.53081,0.94931,0.95092,1,0.99352,0.85754,0.62698,0.47389,0.86244,0.0015644,0.0015644,0.0015644
